model_version,dataset,precision,recall,f1_score,tp,fp,fn
YOLOv3,daySequence1,0.995702005730659,0.08798582098999873,0.1616843084797022,695,3,7204
YOLOv3,daySequence2,0.9224652087475149,0.0458498023715415,0.08735762025793091,464,39,9656
YOLOv3,nightSequence1,0.8982056590752243,0.42178891649562494,0.5740223463687151,7809,885,10705
YOLOv3,nightSequence2,0.8579498861047836,0.44593890599100167,0.5868494858211281,9416,1559,11699
YOLOv5,daySequence1,0.996875,0.0403848588428915,0.07762501520866286,319,1,7580
YOLOv5,daySequence2,0.9281437125748503,0.030632411067193676,0.05930744212741534,310,24,9810
YOLOv5,nightSequence1,0.9662081339712919,0.34903316409203844,0.5128164431394334,6462,226,12052
YOLOv5,nightSequence2,0.8846546010706092,0.3287236561686005,0.47933427713131443,6941,905,14174
YOLOv8,daySequence1,0.9817668207498716,0.4839853145967844,0.6483507165267531,3823,71,4076
YOLOv8,daySequence2,0.9476024516284101,0.7791501976284585,0.8551596984979123,7885,436,2235
YOLOv8,nightSequence1,0.9985866632403957,0.41979042886464296,0.5910940411453778,7772,11,10742
YOLOv8,nightSequence2,0.9945310081518935,0.4564527587023443,0.6257222618970331,9638,53,11477
