model_version,dataset,precision,recall,f1_score,tp,fp,fn
YOLOv3,daySequence1,0.7808022922636103,0.0703498128307732,0.12907045589105978,545,153,7202
YOLOv3,daySequence2,0.7614314115308151,0.0383,0.07293154336856136,383,120,9617
YOLOv3,nightSequence1,0.5642972164711295,0.33315224772511204,0.4189581554227156,4906,3788,9820
YOLOv3,nightSequence2,0.4321640091116173,0.31868574884095946,0.36684971768891633,4743,6232,10140
YOLOv5,daySequence1,0.80625,0.0329165603470273,0.06325079676391272,258,62,7580
YOLOv5,daySequence2,0.8083832335329342,0.02684964200477327,0.05197305101058711,270,64,9786
YOLOv5,nightSequence1,0.14563397129186603,0.07609375,0.09995894909688013,974,5714,11826
YOLOv5,nightSequence2,0.23183787917410145,0.12055938494167551,0.15862910961890642,1819,6027,13269
YOLOv8,daySequence1,0.9347714432460195,0.4760659168192519,0.6308492201039863,3640,254,4006
YOLOv8,daySequence2,0.8834274726595361,0.8033879781420765,0.841508785988209,7351,970,1799
YOLOv8,nightSequence1,0.9780290376461519,0.4149811917352669,0.5827145372425936,7612,171,10731
YOLOv8,nightSequence2,0.9763698276751626,0.4530307382935938,0.6188965562350787,9462,229,11424
