model_version,dataset,precision,recall,f1_score,tp,fp,fn
YOLOv3,daySequence1,0.6532951289398281,0.05954557325672499,0.10914313068453806,456,242,7202
YOLOv3,daySequence2,0.7256461232604374,0.036565818473251854,0.06962327134000953,365,138,9617
YOLOv3,nightSequence1,0.20358868184955142,0.15271786022433131,0.1745217905738513,1770,6924,9820
YOLOv3,nightSequence2,0.1350341685649203,0.12751677852348994,0.13116785413993012,1482,9493,10140
YOLOv5,daySequence1,0.70625,0.02895208813733026,0.05562392320945114,226,94,7580
YOLOv5,daySequence2,0.7395209580838323,0.02461875809827569,0.047651200926015234,247,87,9786
YOLOv5,nightSequence1,0.0832834928229665,0.04498102236937737,0.05841329767710135,557,6131,11826
YOLOv5,nightSequence2,0.1775426969156258,0.09500750238712317,0.1237782121912209,1393,6453,13269
YOLOv8,daySequence1,0.8230611196712891,0.4444598530023575,0.5772174696082846,3205,689,4006
YOLOv8,daySequence2,0.7365701237831991,0.7730827447023209,0.7543848852237061,6129,2192,1799
YOLOv8,nightSequence1,0.8789669793138892,0.3893125426815388,0.5396174324590811,6841,942,10731
YOLOv8,nightSequence2,0.9682179341657208,0.45095400586341133,0.6153190373139222,9383,308,11424
