model,dataset,img_id,confidence,IoU
YoloV8,daySequence2,2809,0.816713809967041,0.9898824950813532
YoloV8,nightSequence2,5529,0.8515462875366211,0.9859218112144034
YoloV8,daySequence2,6659,0.7177694439888,0.985443553559513
YoloV8,nightSequence2,1619,0.8541492223739624,0.9845776337936405
YoloV8,nightSequence2,1672,0.8562018871307373,0.9845676179979147
YoloV8,nightSequence2,1677,0.8527876138687134,0.9836244819424542
YoloV8,nightSequence2,3194,0.7784968018531799,0.9834444552771003
YoloV8,nightSequence2,5551,0.8910051584243774,0.9831431591854632
YoloV8,nightSequence2,1362,0.857573926448822,0.9825416174534121
YoloV8,nightSequence2,295,0.8329564929008484,0.982080756917733
YoloV8,nightSequence2,1654,0.8758361339569092,0.9801596131024942
YoloV8,nightSequence2,1349,0.8704218864440918,0.9799972648561945
YoloV8,daySequence1,3967,0.7040009498596191,0.9798645254555779
YoloV8,nightSequence2,1356,0.8541346788406372,0.9797856849963482
YoloV8,nightSequence2,5555,0.8578015565872192,0.979596477365871
YoloV8,nightSequence2,5546,0.8624619245529175,0.9795458661983159
YoloV8,nightSequence2,4561,0.8410371541976929,0.9791859231578806
YoloV8,nightSequence2,1761,0.8146621584892273,0.9791337910833434
YoloV8,nightSequence2,1685,0.8582201600074768,0.9789170628584914
YoloV8,nightSequence2,528,0.7714371681213379,0.9782783692840185
YoloV8,daySequence1,2017,0.3425337374210357,0.9777888744486479
YoloV8,nightSequence2,4305,0.8207412362098694,0.9775413410803863
YoloV8,nightSequence2,4274,0.7731915712356567,0.9772223014067765
YoloV8,nightSequence2,6097,0.856410562992096,0.9766090400544568
YoloV8,nightSequence2,1704,0.7911291122436523,0.9765466955813139
YoloV8,nightSequence2,6118,0.8781560063362122,0.976063921858835
YoloV8,nightSequence2,4571,0.8461763262748718,0.9753684251802296
YoloV8,nightSequence2,5449,0.8079289197921753,0.9747245498817314
YoloV8,daySequence1,2070,0.3768235146999359,0.9737629161277616
YoloV8,nightSequence2,3262,0.8713042736053467,0.9737111484319331
YoloV8,daySequence1,2150,0.3857562839984894,0.973582512698592
YoloV8,nightSequence2,1360,0.862870454788208,0.9735773269209955
YoloV8,nightSequence2,6096,0.86439049243927,0.9735701722594702
YoloV8,nightSequence2,1785,0.8764365315437317,0.9733635970164419
YoloV8,nightSequence2,1353,0.8418511152267456,0.9730265108115392
YoloV8,daySequence1,2276,0.539972186088562,0.9727846117884038
YoloV8,nightSequence2,4586,0.8288804292678833,0.9726593694748622
YoloV8,nightSequence2,5515,0.8536227345466614,0.9722838132208828
YoloV8,daySequence1,2501,0.5025897026062012,0.9717375781448796
