model,dataset,img_id,confidence,euc_dist
YoloV8,daySequence2,4596,0.5357614755630493,4.067465680170401e-06
YoloV8,nightSequence2,3171,0.8420411944389343,7.446144690766241e-06
YoloV8,daySequence1,2162,0.3297204375267029,1.6503319579087583e-05
YoloV8,daySequence2,6320,0.7561532258987427,1.6655205914090136e-05
YoloV8,daySequence2,4893,0.3610535860061645,1.8218348373430236e-05
YoloV8,nightSequence2,5418,0.7001100778579712,2.155092954856129e-05
YoloV8,nightSequence2,5529,0.8515462875366211,2.2358804575852704e-05
YoloV8,nightSequence2,4786,0.8504973649978638,2.5176359740033797e-05
YoloV8,daySequence2,2781,0.466755747795105,2.5689345899582083e-05
YoloV8,daySequence1,3993,0.7816288471221924,2.7713898882200658e-05
YoloV8,nightSequence2,5438,0.7739863395690918,2.8363399345143416e-05
YoloV8,nightSequence2,287,0.7954645752906799,3.1216777430751185e-05
YoloV8,nightSequence2,1281,0.5926204323768616,3.180871996532764e-05
YoloV8,nightSequence2,5474,0.724703848361969,3.272367835421142e-05
YoloV8,daySequence2,1036,0.4761721193790436,3.294215893822991e-05
YoloV8,daySequence2,4331,0.4637380540370941,3.3064365948913276e-05
YoloV8,nightSequence2,5461,0.7628017067909241,3.360405725381991e-05
YoloV8,nightSequence2,4561,0.8410371541976929,3.479774498500889e-05
YoloV8,nightSequence2,5498,0.8319071531295776,3.5527153282840475e-05
YoloV8,nightSequence2,3705,0.8150435090065002,3.6037958232574534e-05
YoloV8,daySequence1,1305,0.613462507724762,3.623415810931128e-05
YoloV8,nightSequence2,4673,0.3036989271640777,3.7287093896650984e-05
YoloV8,nightSequence2,811,0.6493406295776367,3.878547836089808e-05
YoloV8,nightSequence2,5534,0.8484284281730652,3.937237225473963e-05
YoloV8,nightSequence2,3194,0.7784968018531799,3.93877883662599e-05
YoloV8,daySequence2,5018,0.6461265683174133,4.1961805386846285e-05
YoloV8,nightSequence2,3212,0.8788787722587585,4.628753971678522e-05
YoloV8,nightSequence2,4194,0.6355637907981873,4.67335446660133e-05
YoloV8,nightSequence2,520,0.8559424877166748,4.689480875405665e-05
YoloV8,nightSequence2,4264,0.6923489570617676,4.7935678456445885e-05
YoloV8,nightSequence2,3084,0.544640302658081,4.896543653448456e-05
YoloV8,daySequence1,3964,0.7183613181114197,4.910553337773517e-05
YoloV8,nightSequence2,4133,0.6132471561431885,4.928067878241651e-05
YoloV8,daySequence2,1885,0.5565629005432129,4.932481100591048e-05
YoloV8,nightSequence2,1231,0.7454432249069214,4.97561949601747e-05
YoloV8,nightSequence2,2078,0.8309596180915833,4.993573662861991e-05
YoloV8,daySequence1,1862,0.2668474912643432,5.103868571957422e-05
YoloV8,nightSequence2,1718,0.8554677963256836,5.176651987177761e-05
YoloV8,nightSequence2,4244,0.7593610286712646,5.178104168090575e-05
YoloV8,daySequence2,6657,0.7060250043869019,5.209378725326082e-05
YoloV8,nightSequence2,4752,0.8283650875091553,5.517193666402969e-05
YoloV8,nightSequence1,914,0.8368999361991882,5.546536081858748e-05
YoloV8,nightSequence2,4252,0.7426078915596008,5.582475074793066e-05
YoloV8,nightSequence2,4233,0.6378581523895264,5.8806178687295855e-05
YoloV8,nightSequence2,6318,0.789698600769043,5.9010310314127434e-05
YoloV8,nightSequence2,4285,0.7964940667152405,6.0653394955657294e-05
YoloV8,nightSequence2,6027,0.8387463688850403,6.181274575313574e-05
YoloV8,daySequence2,1905,0.5524879693984985,6.19891973631266e-05
YoloV8,nightSequence1,4421,0.8263484835624695,6.291779119641936e-05
YoloV8,nightSequence2,4614,0.4388122856616974,6.354843074378388e-05
YoloV8,daySequence2,4664,0.7557564377784729,6.53473638818345e-05
YoloV8,nightSequence2,4219,0.7785682678222656,6.568043324802896e-05
YoloV8,nightSequence2,4509,0.7258619666099548,6.650475042939148e-05
YoloV8,nightSequence1,951,0.8246463537216187,6.656225630487182e-05
YoloV8,nightSequence2,4490,0.779144823551178,6.747763044387982e-05
YoloV8,nightSequence1,4324,0.4815185666084289,6.773802051993758e-05
YoloV8,daySequence1,3017,0.6837678551673889,6.788888740913925e-05
YoloV8,nightSequence2,1569,0.2675285041332245,6.836366811440298e-05
YoloV8,daySequence1,2535,0.3561827540397644,7.003501199801404e-05
YoloV8,daySequence2,4861,0.74918133020401,7.007761570181413e-05
YoloV8,nightSequence2,4334,0.8444628715515137,7.014450360905886e-05
YoloV8,nightSequence2,4031,0.3233736157417297,7.099533812404869e-05
YoloV8,nightSequence1,194,0.7727785706520081,7.170421931607969e-05
YoloV8,daySequence2,4656,0.5456886291503906,7.195313137808745e-05
YoloV8,daySequence1,657,0.6973003149032593,7.223272085754772e-05
YoloV8,nightSequence1,4424,0.8614357709884644,7.223590530492201e-05
YoloV8,nightSequence2,327,0.8815839290618896,7.239644440389681e-05
YoloV8,nightSequence2,3172,0.8310157656669617,7.26591093332997e-05
YoloV8,nightSequence2,1298,0.7026305198669434,7.397237470258723e-05
YoloV8,nightSequence1,3935,0.8506686091423035,7.40255317326352e-05
YoloV8,daySequence2,4848,0.589224100112915,7.662516460848005e-05
YoloV8,daySequence2,3452,0.410465657711029,7.684469778220672e-05
YoloV8,nightSequence2,279,0.7143842577934265,7.692128291428326e-05
YoloV8,nightSequence2,4291,0.7688852548599243,7.710775322783348e-05
YoloV8,nightSequence2,5574,0.896083414554596,7.74094606682616e-05
YoloV8,daySequence2,5123,0.7425462603569031,7.748041540105813e-05
YoloV8,nightSequence2,3013,0.6341118812561035,7.787125680897949e-05
YoloV8,nightSequence2,1474,0.472409039735794,7.846286654825762e-05
YoloV8,daySequence2,3486,0.7632349133491516,7.89408503903123e-05
YoloV8,nightSequence2,1240,0.4601223170757293,7.997140280076339e-05
YoloV8,nightSequence2,5533,0.8474564552307129,8.049736874110608e-05
YoloV8,nightSequence1,200,0.2684193551540375,8.214874668008739e-05
YoloV8,nightSequence2,4599,0.7352913618087769,8.261974031827728e-05
YoloV8,nightSequence2,1790,0.8771607875823975,8.266695812327242e-05
YoloV8,daySequence1,3418,0.6335341334342957,8.474049679839018e-05
YoloV8,nightSequence2,4839,0.8054007291793823,8.533641582642963e-05
YoloV8,daySequence2,6419,0.6940979957580566,8.610880057680018e-05
YoloV8,nightSequence2,1496,0.739616870880127,8.637754019462413e-05
YoloV8,nightSequence2,716,0.2652502059936523,8.710547695616746e-05
YoloV8,nightSequence2,1774,0.8599501252174377,8.711502696216921e-05
